Time_Var,Sensor1_Var,Sensor2_Var,Sensor3_Var,Time_Mean,Sensor1_Mean,Sensor2_Mean,Sensor3_Mean,Time_Kurt,Sensor1_Kurt,Sensor2_Kurt,Sensor3_Kurt,Time_Skew,Sensor1_Skew,Sensor2_Skew,Sensor3_Skew,Time_Max,Sensor1_Max,Sensor2_Max,Sensor3_Max,Time_Min,Sensor1_Min,Sensor2_Min,Sensor3_Min,Time_Median,Sensor1_Median,Sensor2_Median,Sensor3_Median,Time_Std,Sensor1_Std,Sensor2_Std,Sensor3_Std,Activity
4205337708271.831,2.4080709797084157e+32,3.209707798116129e+32,1.467813316185805e+32,3492429.146067416,1.664423709558641e+16,-2732190974433442.0,1.0929673042833138e+16,-1.2000001426684546,-0.7580715151188349,1.5942136023081939,15.707991327429227,-8.051159191490411e-07,0.6566100261053596,0.3055250971985585,3.879465911117231,6984856,62230000495910645,54999999701976776,74120001792907715,0,3375,-50999999046325684,109399995803833,3492430.0,5534999847412109.0,-3240000009536743.0,8654999732971191.0,2050692.0071702213,1.5517960496497004e+16,1.791565739267228e+16,1.2115334564863676e+16,down
5197566984180.561,2.5391518840117848e+32,1.9745211534978572e+32,1.7034473812726834e+32,3889279.898989899,1.4048034280719178e+16,1913819210005529.5,1.0960970652705578e+16,-1.1999999150891305,1.1994110174749162,1.935827543195563,14.469971689959031,-2.743916451195024e-07,1.459939283198581,-0.032824913153983074,3.824709639410646,7778559,67829999923706055,42500001192092896,74629998207092285,0,175600004196167,-45100000500679016,7875,3889280.0,5729000091552734.0,860000029206276.0,8842000007629395.0,2279817.313773312,1.5934716451860024e+16,1.4051765559878436e+16,1.3051618218721706e+16,down
6882854272907.208,1.6761420821871585e+32,3.5716871044819446e+32,1.4917757652527114e+32,4484581.201754386,1.045502363730941e+16,-1245315742205108.8,1.0390643457948204e+16,-1.1999999046342955,4.0060819304361175,1.3235071609077793,13.076067376512764,9.532809194591748e-07,2.0805931577283023,0.37878114546367353,3.5119543254599686,8969165,57129998207092285,52000001072883606,70960001945495605,0,-6140000224113464,-47699999809265137,90,4484579.5,5194999933242798.0,-1812000036239624.0,8463999748229980.0,2623519.443973535,1.2946590602112814e+16,1.8898907652247904e+16,1.221382726770242e+16,down
5197602826844.285,2.621903899812956e+32,1.8617817400405266e+32,1.6942235027046413e+32,3889292.8585858587,1.3082511152763566e+16,-3331707112641637.0,1.0317341941583036e+16,-1.2000001794857846,3.9764926285059277,1.308514159454658,17.7345512433474,-1.7941291761909877e-07,2.06633954247095,-0.8638841716112453,4.110672738091124,7778585,76529998779296875,23199999332427979,79730000495910645,0,-4749999940395355,-47699999809265137,124350004196167,3889293.0,5515999794006348.0,-820000022649765.0,8369999885559082.0,2279825.1746228887,1.6192294154359216e+16,1.3644712309317946e+16,1.3016234104781004e+16,down
6882867754405.767,2.1325006259215047e+32,2.935531698296503e+32,2.2074365557441174e+32,4484586.403508772,1.244345003993893e+16,-3840806090125912.0,1.1988231973397114e+16,-1.1999999025204704,2.981807317552716,1.3451766577146969,10.03764747524022,3.0957432076357716e-07,1.8552892959441276,-0.02901653238814882,3.252542293657317,8969174,69079999923706055,49000000953674316,74670000076293945,0,725,-54999999701976776,110,4484585.5,5626499891281128.0,-3774999976158142.0,8421500205993652.0,2623522.0133259348,1.460308400962449e+16,1.7133393412562798e+16,1.4857444449649198e+16,down
7375377768622.227,2.246181606660177e+32,2.6698116287330537e+32,8.671711868382231e+31,3329296.406926407,1.3047675741931576e+16,20347159297826.215,9004978161271061.0,-1.0256606563175192,1.7127414636123897,1.1793123687194935,35.29472344422277,0.6615754119611901,1.5886502657410346,-0.09336924430666645,5.508327976495889,8373877,64070000648498535,47099998593330383,78480000495910645,0,-8529999852180481,-48399999737739563,575,2281983.0,5638000011444092.0,1120000034570694.0,8494999885559082.0,2715764.6747504147,1.4987266617566316e+16,1.6339558221485224e+16,9312202676264210.0,down
7248284675076.775,3.0215623184979624e+32,2.0213000344868822e+32,1.4698098032075613e+32,4603649.88034188,1.491727993614654e+16,2579040170893964.0,9426026085177104.0,-1.1999994933821394,2.0509664424857093,2.3575818815851584,22.05682538415187,6.438658185030755e-07,1.6539731910357829,-0.09586597235435633,4.560491324676826,9207302,77870001792907715,48500001430511475,79679999351501465,0,99350004196167,-39500001072883606,7875,4603649.0,5961999893188477.0,3869999945163727.0,8057000160217285.0,2692263.8568826746,1.7382641682143604e+16,1.4217243173297988e+16,1.2123571269257096e+16,down
6763164560632.362,2.9312183230223733e+32,2.74769986215695e+32,1.547667473093425e+32,4444899.725663717,1.318193804690276e+16,-1801150395740977.8,9857952234808572.0,-1.2000002360253874,3.0802500882221473,1.0324455995936495,16.160204297032582,-2.0670875818043625e-07,1.9430054351597486,-0.10053732868303925,3.975803230381238,8889799,77769999504089355,49900001287460327,72179999351501465,0,3375,-48899999260902405,85,4444900.0,5578999996185303.0,-2322999954223633.0,8095000267028809.0,2600608.4981466094,1.712080115830557e+16,1.6576187324463216e+16,1.2440528417609218e+16,down
5733070605431.785,2.4752717280099056e+32,2.9222815492859105e+32,2.005259011157336e+32,4087711.519230769,1.2294680774785096e+16,-3968451902915079.0,1.1414078798660864e+16,-1.199999948645262,4.014582452182431,1.8091558882610776,13.308883880016976,-2.066788194117506e-07,2.130882445721956,-0.9793380398785899,3.666398265176354,8175422,68460001945495605,36800000071525574,76519999504089355,0,35,-57999998331069946,511299991607666,4087711.5,5722499847412110.0,-1156000018119812.0,8277999877929688.0,2394383.136724736,1.5732996307156198e+16,1.7094682065735854e+16,1.4160716829162766e+16,down
4688311482657.025,2.719552476913196e+32,2.5103384757700513e+32,2.439851083228571e+32,3690848.085106383,1.4700366057106794e+16,-1065074475125435.2,1.1713576566919366e+16,-1.199999990781749,2.489109185529992,1.203191482025574,10.752906841657945,-2.688607704259861e-07,1.562413230387525,-0.10543957198864687,3.3662215279902297,7381695,76620001792907715,42500001192092896,78480000495910645,0,-6570000052452087,-47699999809265137,647599983215332,3690848.5,5936999857425690.0,-1206499993801117.0,8531000137329102.0,2165250.905243322,1.6491065693014494e+16,1.584404770180288e+16,1.562002267357052e+16,down
